"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
",""city"",""Лавленд"",""Loveland"",""55.92:21.07"",,""Lithuania"""
",""city"",""Тарб"",""Tarbes"",""43.2332:0.0781"",,""France"""
",""city"",""Сочи"",""Sochi"",""43.615:39.722"",,""Russia"""
",""city"",""Нанси"",""Nancy"",""48.686:6.17"",,""France"""
",""city"",""Элирия"",""Elyria"",""41.368:-82.106"",,""United States"""
",""city"",""Сенкт-Питерсберг"",""Saint Petersburg"",""27.776:-82.648"",,""United States"""
",""city"",""Фрайбург"",""Freiburg"",""47.998:7.854"",""Europe/Paris"",""Germany"""
",""city"",""Дарлингтон"",""Darlington"",""54.5269:-1.554"",,""United Kingdom"""
",""city"",""Хельсингборг"",""Helsingborg"",""56.048:12.7"",,""Sweden"""
",""city"",""Якобстад"",""Pietarsaari"",""63.675:22.704"",,""Finland"""
",""city"",""Агно"",""Agno"",""45.998:8.9"",,""Switzerland"""
",""city"",""Лейк Озарк"",""Lake Ozark"",""39.198:-92.637"",,""United States"""
",""city"",""Торнио"",""Tornio"",""65.851:24.15"",,""Finland"""
",""city"",""Брадентон"",""Bradenton"",""27.4994:-82.5747"",,""United States"""
",""city"",""Лефкас"",""Lefkas"",""38.8336:20.7074"",,""Greece"""
",""city"",""Нормал"",""Normal"",""40.515:-88.99"",,""United States"""
",""city"",""Авилес"",""Aviles"",""43.557:-5.928"",,""Spain"""
",""city"",""Кантон"",""Canton"",""40.802:-81.379"",,""United States"""
",""city"",""Сиуатанехо"",""Zihuatanejo"",""17.646:-101.553"",,""Mexico"""
",""city"",""Хейстингс"",""Hastings"",""-39.638:176.84"",,""New Zealand"""
",""city"",""Ватерлоо"",""Waterloo"",""43.481:-80.537"",,""Canada"""
",""city"",""Гарден Хилл"",""Garden Hill"",""53.874:-94.65"",,""Canada"""
",""city"",""Дарем"",""Durham"",""35.995:-78.898"",,""United States"""
",""city"",""Баден-Баден"",""Baden-Baden"",""48.76:8.24"",,""Germany"""
",""city"",""Корнинг"",""Corning"",""42.144:-77.054"",,""United States"""
",""city"",""Лавленд"",""Loveland"",""40.399:-105.073"",,""United States"""
",""city"",""Нижнекамск"",""Nizhnekamsk"",""55.72:52.41"",""Europe/Moscow"",""Russia"""
"0A7,""city"",""Хендерсонвилл"",""Hendersonville"",""35.3187279:-82.4609528"",,""United States"""
"AAA,""city"",""Анаа"",""Anaa"",""-17.36:-145.51"",""Pacific/Tahiti"",""French Polynesia"""
"AAB,""city"",""Аррабури"",""Arrabury"",""-26.69:141.05"",""Australia/Brisbane"",""Australia"""
"AAC,""city"",""Эль-Ариш"",""Al Arish"",""31.1319:33.8032"",""Africa/Khartoum"",""Egypt"""
"AAD,""city"",""Ад-Даббах"",""Ad-Dabbah"",""17.59:33.96"",""Asia/Baghdad"",""Sudan"""
"AAE,""city"",""Аннаба"",""Annaba"",""36.902859:7.755543"",""Africa/Algiers"",""Algeria"""
"AAF,""city"",""Апалачикола"",""Apalachicola"",""29.7257675:-84.9832435"",""+5.0"",""United States"""
"AAG,""city"",""Арапоти"",""Arapoti"",""-24.1453357:-49.8188324"",""America/Sao_Paulo"",""Brazil"""
"AAH,""city"",""Ахен"",""Aachen"",""50.7754385:6.0815102"",""Europe/Berlin"",""Germany"""
"AAI,""city"",""Арраяс"",""Arraias"",""-12.9264218:-46.9351817"",""America/Araguaina"",""Brazil"""
"AAJ,""city"",""Аварадам"",""Awaradam"",,""-3.0"",""Suriname"""
